,allocation_weight,allocation_discrete,ticker,buy_investment,buy_price,shares_bought
0,0.02391,11.0,CMCSA,77.89519583496094,45.369998931884766,1.7168877599469896
1,0.05,4.0,PAYC,162.89250488281252,271.79998779296875,0.5993101994062209
2,0.02138,1.0,AVGO,69.65283508789062,322.3900146484375,0.21605146537756828
3,0.05,5.0,MCD,162.89250488281252,200.7899932861328,0.8112580822226781
4,0.05,3.0,NOW,162.89250488281252,291.239990234375,0.5593067928333777
5,0.05,5.0,EL,162.89250488281252,206.25999450683594,0.7897435722922695
6,0.05,3.0,FICO,162.89250488281252,382.9200134277344,0.42539564183305345
7,0.05,8.0,WIX,162.89250488281252,127.55000305175781,1.2770874244253312
8,0.01233,1.0,BABA,40.16929170410157,219.77000427246094,0.1827787729134386
9,0.05,5.0,HD,162.89250488281252,219.66000366210938,0.7415665217477684
10,0.04545,5.0,UI,148.06928693847655,190.1300048828125,0.778779167600294
11,0.03864,5.0,IT,125.8833277734375,156.0399932861328,0.8067375877324181
12,0.01251,3.0,TSLA,40.75570472167969,86.052001953125,0.4736171593530212
13,0.05,13.0,AAPL,162.89250488281252,75.0875015258789,2.1693690903628164
14,0.04661,3.0,NFLX,151.8483930517578,329.80999755859375,0.46041173456174733
15,0.05,3.0,COST,162.89250488281252,291.489990234375,0.5588270964359271
16,0.05,14.0,MTCH,162.89250488281252,72.8954849243164,2.234603488157536
17,0.04858,5.0,FB,158.2663577441406,209.77999877929688,0.7544396923686123
18,0.05,8.0,FISV,162.89250488281252,115.5199966430664,1.4100805887842747
19,0.01992,3.0,PEP,64.8963739453125,135.82000732421875,0.4778115921492849
20,0.03027,7.0,GIB,98.61512245605468,84.2300033569336,1.1707837887428618
21,0.05,3.0,LMT,162.89250488281252,399.3699951171875,0.407873668213394
22,0.00196,,PANW,6.3853861914062495,235.41000366210938,0.027124532059272104
23,0.04843,11.0,SBUX,157.77768022949218,89.3499984741211,1.7658386449238737
24,0.05,13.0,ZEN,162.89250488281252,79.98999786376953,2.036410916777792
